#     time conns tot_conn  tot_req      tot_bytes    err  cps  rps  Bps  bps   ttfb   ttlb 1xx 2xx 3xx 4xx 5xx
1778099631   300    16200 16047420    12083627760      0 299. 326k 246M 1G96 917.1u 917.1u   0 327137   0   0   0 
1778099632   300    16500 16373788    12329382117      0 299. 326k 245M 1G96 919.3u 919.3u   0 326368   0   0   0 
1778099633   300    16800 16677933    12558401049      0 299. 303k 228M 1G83 986.6u 986.6u   0 304145   0   0   0 
1778099634   300    17100 16987312    12791361936      0 300. 309k 232M 1G86 968.9u 968.9u   0 309379   0   0   0 
1778099635   300    17400 17308889    13033507917      0 299. 321k 241M 1G93 933.2u 933.2u   0 321577   0   0   0 
1778099636   300    17700 17609474    13259846922      0 299. 299k 225M 1G80 1.000m 1.000m   0 300585   0   0   0 
1778099637   300    18000 17930194    13501347582      0 300. 320k 241M 1G93 934.5u 934.5u   0 320720   0   0   0 
1778099638   300    18300 18239463    13734225639      0 300. 309k 233M 1G86 968.2u 968.2u   0 309269   0   0   0 
1778099639   300    18600 18563938    13978553814      0 299. 324k 244M 1G95 924.6u 924.6u   0 324475   0   0   0 
1778099640   300    18900 18893232    14226511449      0 299. 328k 247M 1G98 911.1u 911.1u   0 329294   0   0   0 
1778099641   300    19500 19211846    14466424038      0 599. 318k 239M 1G91 941.8u 941.8u   0 318614   0   0   0 
1778099642   300    19500 19212446    14466875838      0 0.00 598. 450k 3M60    -      -     0 600   0   0   0 
1778099643   300    19500 19212446    14466875838      0 0.00 0.00 0.00 0.00    -      -     0   0   0   0   0 
